FileName, CommitSha
analytic-rules/Azure_Sentinel_analytic_rule (16).json,8411d1f6e51aae0caec3b608c0141df310bb1bf0
analytic-rules/Azure_Sentinel_analytic_rule (13).json,3f7107bf09d1a60d452f41437a9fe7c175fc1036
analytic-rules/Azure_Sentinel_analytic_rule (11).json,1e7b123fc0e74279073ce4d2a7a0141b5a17362d
analytic-rules/Azure_Sentinel_analytic_rule (14).json,d4df67c1d824808bfc206b2865cf1b6833845d0e
analytic-rules/Azure_Sentinel_analytic_rule (15).json,91e3e59c5fe4a20c71ec3c977682706607919c7e
analytic-rules/Azure_Sentinel_analytic_rule (10).json,8506dbf65d54b075663c550eb15fe71b2b9a7f85
analytic-rules/Conditional_Access_Policy_Disabled_or_Deleted.json,86046f4e67bcbd4e3da04ce9c23e3f190ec67e47
analytic-rules/Conditional_Access_Dynamic _Group_Exclusion_Changes.json,b9bbdc3b9bc021c05db99fce3866130b31a888b5
analytic-rules/Azure_Sentinel_analytic_rule (12).json,355ff176d8fabbd80c693f0b190c6cf757ab9b62
analytic-rules/Multi-Factor Authentication Disabled for a User.json,db5f06981a6ce4bcdba4c84fc1a1c712f70cd641
analytic-rules/Diagnostic_Settings_Deleted_Possible_Log_Blinding.json,0b61c03523d16d8f78d79aeb5914c6a81ea80c40
analytic-rules/Azure_Sentinel_analytic_rule (19).json,
analytic-rules/Microsoft Defender Threat Intelligence Analytics.json,863afc660dfd55c32b07d62aa3d38011d7dcec9a
analytic-rules/Clearing of_forensic_evidence_from_event_logs_using_wevtutil.json,bc68e84a6140717ad0ecf8684e71ca1cc13f0c01
analytic-rules/Suspicious_number _of_resource_creation_or_deployment_activities.json,c46e71bb707a0519990112611badb2c2cce4eff0
analytic-rules/Azure_Sentinel_analytic_rule (17).json,aa9ef933f2ec98d83011cacbb1bd74d6c039a612

